id_,age,wealth,gender
0,3136583452,3975517515,3681440008
1,1017638914,2015530711,1783789060
2,2433109364,1118335847,596109583
3,3198789432,1665019273,1515679466
4,2233340151,36130091,4093750896
5,2496556350,3337122057,3788767699
6,2029032607,1084909767,1857898037
7,3438430962,423952437,2397349184
8,2739620983,1621185277,2858056323
9,3477296253,1343644075,2806049114
10,1239981356,2948608187,2007833199
11,3160291859,3226573780,1665248727
12,4031709824,2819199548,1049700306
13,2969436267,2154966105,2388757629
14,910820403,1273525583,1839099740
15,2666915227,3836827538,2944799282
16,677147967,2201076847,2490724137
17,1586338807,1451848491,2131610635
18,2269537388,4033207454,99490335
19,1985790369,3994924885,1092471684
20,3443649277,616890849,3904610773
21,3922708258,3269455724,3351440882
22,728337846,3631753862,1029726244
23,1049736841,1969817450,753930735
24,287973921,3223573368,1449003087
25,456092066,4014961203,2516657903
26,2396663950,2718443748,1504104124
27,3803106127,3448206846,767345035
28,2572003835,240527671,2922047278
29,1401152677,3732537447,2324858418
30,100937863,3382097501,1048298461
31,2455613986,3007870037,1647192094
32,3754663323,3535803342,1190281224
33,488059478,3657957212,2002038044
34,3625539508,1819545844,2226364394
35,863779268,2975661519,2909785968
36,4053158786,2195587436,902867925
37,3787823427,3951803719,2700425577
38,2142031400,2160326127,3390341243
39,1356811004,1452394485,4253546522
40,132332308,1266811882,4017027004
41,3396885466,4185547224,3871651844
42,2913455573,876552576,1535950219
43,1103967080,2056058923,3483415245
44,3883224106,3697730273,1731138645
45,871769450,1152657379,1437411891
46,2419447120,191233637,2984282549
47,1459148625,3607246338,1599983722
48,4282713901,967451817,507557965
49,1674470450,2609290801,433136996
50,3057433797,3186977299,3188117961
51,4242645523,3763967678,2749602134
52,2209173609,4139437874,1664653495
53,156561039,652218214,200207203
54,393078239,2910708836,219480980
55,2597507469,3007803814,1098363995
56,2459843504,1926060670,3259262757
57,2101847133,2321720688,38068695
58,769515286,665894110,3160002795
59,3001508200,2167386337,3134205485
60,1778528057,3205722584,1936682566
61,454874887,733117077,4277112635
62,2650063548,4051320918,1521081322
63,1946267112,2622091262,4292549283
64,1228950606,665983365,3094832976
65,2084479143,2616422990,2440572463
66,3412761104,4109869675,2974153954
67,1214281376,3011949396,3729562626
68,75855409,2435688411,1542385398
69,3281480498,4094670326,4270932303
70,2917253698,1043047046,3896909356
71,4169355032,1339953579,1808378596
72,3548795086,86984270,2699794990
73,680770190,774475878,3290731878
74,3270876592,1660746539,2112756482
75,3075787960,1511629163,1250096477
76,2787223880,828688545,1532793927
77,770434757,739520087,41391010
78,746382434,3194212118,3189867667
79,4275712795,3463442490,2284938169
80,1036048779,1345350747,1551819633
81,2862921471,730391346,2673591882
82,3931135897,4281906575,3690587922
83,176725007,3500943136,3709993995
84,1558123406,2914408964,1952986389
85,1919039767,159976659,466884512
86,1108277564,1125117592,2724063355
87,2668328715,2312706719,3094575830
88,304482855,3738705535,3072279261
89,2212724368,4200618380,95465967
90,4248260562,3598360142,1887661455
91,1776399526,282714765,346916138
92,3848524199,2710814138,169360138
93,4027711270,2744366396,1100831314
94,4107497749,814242595,4208011774
95,3675843338,2362505897,2980683359
96,3933143049,433552341,3244264813
97,159272952,1938540324,1708891
98,4131770431,2865524631,3088255747
99,932136986,4083729126,976579336
100,821178856,1596309511,1235091309
101,4001730229,819754890,1350116647
102,4293542587,4014591867,3930158149
103,245323876,209095924,3456973471
104,376054619,1382007122,1609525650
105,2685703865,1990710613,1966964107
106,3847086288,1716309401,3127254621
107,2335443533,158290602,1904040388
108,1061217042,3956755252,3549622860
109,353238372,3999171180,1212901651
110,3202490838,646985255,3487820253
111,1932167339,4277996254,3689526562
112,2003213275,3847093020,3701632141
113,3663063418,3038106325,4192488465
114,4256787791,784753496,341674281
115,2032725801,1978097912,3155948940
116,2841760452,664096223,1157751498
117,1214068678,3749418044,2064720670
118,675239153,1731136014,2198113153
119,2179900659,3448057954,572562058
120,856503745,1529394200,2151564620
121,3529704484,4144762456,516741872
122,3094510504,3030196928,3692621425
123,2367461215,2440671937,1485177726
124,462590394,667497604,3255606386
125,368350563,2516861992,273100793
126,214564853,1128861731,994867284
127,373698284,2258352517,3667635562
128,1432096436,2696546634,2018098179
129,674304517,2701962459,990116202
130,1517525057,1777263958,3506200414
131,3117483526,2318113238,2187559714
132,61428173,2128083194,160380552
133,3483575949,506750712,302070266
134,2373808337,2848221435,2243297771
135,286028024,1341251187,3204825267
136,3095607178,3735755695,763920160
137,4102946930,3972353168,819750354
138,516997249,2447415367,3760020978
139,1186221500,2123180934,2496738519
140,765505723,1065419082,2558412673
141,4018276758,1261155207,3386562302
142,1739947426,3401153776,545021649
143,3855502050,256490690,3725945003
144,1992032663,1050582061,1334428051
145,540799244,454944845,3015260753
146,1667572734,1485291537,2729976742
147,3106012168,3846003980,3622433376
148,1131416214,1356989734,779180713
149,809478319,2208924290,236533605
150,3404093548,2957674068,2848183815
151,714827066,3541277141,3924502782
152,104418834,1240865835,4214091870
153,639609892,3905502027,1266850390
154,3260245576,1729311579,62485529
155,3396319051,335561284,1908544892
156,3464983587,4098057690,933052894
157,187067669,2479299395,342469774
158,1529207401,987145313,4173343576
159,3223197795,3438286897,3112490258
160,2259401816,4193770736,4141679851
161,1070812502,1574443880,428666690
162,2258246779,3633463699,26373067
163,3386912542,2536136779,16664152
164,1043503751,2414465316,1755463878
165,2114291212,3461362718,104178237
166,3483954572,3379618962,679250842
167,99024852,767632835,3595611078
168,763936019,2702814337,1340939095
169,2549865040,964829853,2849127996
170,3875974600,3644476023,1584322524
171,698164885,558679793,2711023145
172,4267736661,1222603976,4083728974
173,2726646857,2356509747,2984988897
174,2708676143,604495356,856190468
175,3201488392,2079965720,3742891824
176,3262677845,1331349304,3933619581
177,1021732711,755704018,964024242
178,3092354753,2816178942,4197822348
179,2248384703,305831513,2282756575
180,1094128569,974919488,1318277923
181,1961932256,1280887899,3270710128
182,4248500604,2626848655,1267184679
183,3703118314,2798996798,3548746831
184,3188001208,4069187593,3666970791
185,3384466287,1760341711,460934801
186,3664092860,3236717937,149853484
187,1529738024,513256547,3391636590
188,4075438017,1303561780,3702966674
189,3779978916,2072906525,215796324
190,2145889446,2624108700,4096358886
191,201547500,4128033688,2270455998
192,2492127187,919270360,2650462603
193,3703587753,455363868,3278760956
194,1025310073,2319425660,1152739162
195,1690823248,960381406,2290478709
196,1785452716,1318878286,397701332
197,1762448891,2032063939,2671045516
198,3979753296,2576986420,2334762212
199,1218900103,3447654115,1481350804
200,592231102,475604157,700809515
201,3650957274,789367907,3528526105
202,2976437462,3852595057,1667740872
203,2012476683,2127089161,3496068602
204,4041629021,592875272,3979965134
205,1776389372,1218502130,2894361049
206,3114116358,4062025797,3362571435
207,2570374751,2016280497,1740975362
208,1584665122,1379638959,997556078
209,295438686,2575718023,2824732327
210,299645120,1735331404,3731222219
211,3078299830,3527791102,1824564299
212,2188880437,3889923178,1107547934
213,1376314231,3637428350,242215625
214,4178009247,898451345,1796474740
215,1258316078,858882710,663737372
216,3752501086,2625455798,3624073896
217,576587465,4172838086,628348290
218,2662190446,1778501167,1044768164
219,589191946,2488613995,3918159678
220,1586820508,3443687476,3444676364
221,920569813,2856854228,1088682672
222,3121155332,4008583353,4282340030
223,525117907,4097313182,201338220
224,3102723372,3246625508,641306951
225,2014030967,259551716,1885877475
226,3082571553,1347352981,2559930552
227,2077074028,2404160260,1918664589
228,3948602484,1161248315,1116135102
229,16551809,438539184,3484131331
230,1348895932,3628911794,2702096427
231,1199976693,3294642191,2493623532
232,3352107171,700144617,935231392
233,461755322,2892778998,1290918663
234,4173724916,2655767652,19810158
235,3069939769,287010494,4027771628
236,1502999121,526082122,2411269836
237,1125672766,3561151614,2824194485
238,1079011248,2053878529,983573080
239,928763274,3685670881,2585607540
240,685054251,1324941571,2753018817
241,2299752555,1386544099,4179724438
242,874157144,2336041082,878161020
243,3319351734,272739234,1729311467
244,1207968399,1383896411,3701990067
245,3219611508,1672898336,2818924442
246,480633096,2343358803,912626264
247,2614495888,3780847107,3592134828
248,3723205857,2504354407,741586681
249,1543861962,2225427482,4082461244
250,2274830848,2921118429,3265812512
251,2921547694,1337030703,626770196
252,810699801,3666768737,3110991601
253,398800046,1052765336,1499647054
254,989077746,2830255900,2822426833
255,979329359,3224689412,1290949824
256,2192947394,2160471678,365415867
257,1719132148,3987131291,3188506865
258,337054148,299249761,266161261
259,2020081692,2726768739,2506305845
260,923709291,2126303933,3132665591
261,695201622,1487872030,3545707472
262,2502191200,3659823031,1840228979
263,4075209937,1411903603,3902119857
264,2938441468,2115330303,1239263760
265,1954030064,909487187,3519341390
266,2775576830,3001848284,3666401368
267,3685559764,1274814002,291015732
268,3624839949,2656795983,1933625876
269,1248599555,2365697441,558245498
270,2698583689,2876427923,1359981219
271,2375874285,1917310503,4211020046
272,1107805405,50982057,4001943337
273,3990140432,3308950621,2060038553
274,3165786494,1733152581,3514998236
275,3678896480,1335657733,2595853420
276,3316628326,1653942352,687455004
277,3251200079,3007932824,2718056087
278,3343480285,2772472454,209275542
279,3155900118,329074226,3277924120
280,1021240442,1115546954,2878148964
281,3533876163,3653502940,1526920869
282,1447839199,1556590131,2091418911
283,4290343828,1890779680,1185188358
284,910865302,2860027306,2900393067
285,3568515267,3370766432,2519138205
286,2921689325,2911934592,1189150518
287,2086897844,2553151709,978902915
288,691274151,3784278658,2629185948
289,1249011823,652713236,3639106765
290,3352933016,2051321418,1785502232
291,4095256200,415615072,3691475497
292,569845432,3757977349,263007315
293,2000434872,358988646,663717319
294,1081058169,3539267675,698150282
295,3229729731,3348276605,2464534035
296,2150949280,2099221288,3249549833
297,292099852,3386386002,1340563505
298,3818980526,362753139,1320605581
299,2077924008,2550725687,2618092669
300,2126819558,4001666047,3458707144
301,1149666139,506901504,996434786
302,1761712277,1599323931,365746403
303,4000202794,2188972338,2339316164
304,1627721743,3767832739,1231631370
305,3485332560,552682033,1808432064
306,1086605317,1847386754,2148900033
307,3530244530,1729419497,1502974674
308,1167909956,2978262570,840312363
309,1161733911,523061493,3838665172
